글자,자모1,자모2,자모3,자모4,자모5
경우,ᄀ,ᅧ,ᆼ,ᄋ,ᅮ
경제,ᄀ,ᅧ,ᆼ,ᄌ,ᅦ
경치,ᄀ,ᅧ,ᆼ,ᄎ,ᅵ
계곡,ᄀ,ᅨ,ᄀ,ᅩ,ᆨ
계단,ᄀ,ᅨ,ᄃ,ᅡ,ᆫ
계란,ᄀ,ᅨ,ᄅ,ᅡ,ᆫ
계산,ᄀ,ᅨ,ᄉ,ᅡ,ᆫ
계약,ᄀ,ᅨ,ᄋ,ᅣ,ᆨ
계절,ᄀ,ᅨ,ᄌ,ᅥ,ᆯ
계층,ᄀ,ᅨ,ᄎ,ᅳ,ᆼ
계획,ᄀ,ᅨ,ᄒ,ᅬ,ᆨ
고객,ᄀ,ᅩ,ᄀ,ᅢ,ᆨ
고궁,ᄀ,ᅩ,ᄀ,ᅮ,ᆼ
고급,ᄀ,ᅩ,ᄀ,ᅳ,ᆸ
고민,ᄀ,ᅩ,ᄆ,ᅵ,ᆫ
고생,ᄀ,ᅩ,ᄉ,ᅢ,ᆼ
고속,ᄀ,ᅩ,ᄉ,ᅩ,ᆨ
고장,ᄀ,ᅩ,ᄌ,ᅡ,ᆼ
고장,ᄀ,ᅩ,ᄌ,ᅡ,ᆼ
고전,ᄀ,ᅩ,ᄌ,ᅥ,ᆫ
고집,ᄀ,ᅩ,ᄌ,ᅵ,ᆸ
고통,ᄀ,ᅩ,ᄐ,ᅩ,ᆼ
고함,ᄀ,ᅩ,ᄒ,ᅡ,ᆷ
고향,ᄀ,ᅩ,ᄒ,ᅣ,ᆼ
골치,ᄀ,ᅩ,ᆯ,ᄎ,ᅵ
골프,ᄀ,ᅩ,ᆯ,ᄑ,ᅳ
공개,ᄀ,ᅩ,ᆼ,ᄀ,ᅢ
공기,ᄀ,ᅩ,ᆼ,ᄀ,ᅵ
공기,ᄀ,ᅩ,ᆼ,ᄀ,ᅵ
공부,ᄀ,ᅩ,ᆼ,ᄇ,ᅮ
공사,ᄀ,ᅩ,ᆼ,ᄉ,ᅡ
공주,ᄀ,ᅩ,ᆼ,ᄌ,ᅮ
공짜,ᄀ,ᅩ,ᆼ,ᄍ,ᅡ
공포,ᄀ,ᅩ,ᆼ,ᄑ,ᅩ
공해,ᄀ,ᅩ,ᆼ,ᄒ,ᅢ
과목,ᄀ,ᅪ,ᄆ,ᅩ,ᆨ
과일,ᄀ,ᅪ,ᄋ,ᅵ,ᆯ
과장,ᄀ,ᅪ,ᄌ,ᅡ,ᆼ
과정,ᄀ,ᅪ,ᄌ,ᅥ,ᆼ
과정,ᄀ,ᅪ,ᄌ,ᅥ,ᆼ
과학,ᄀ,ᅪ,ᄒ,ᅡ,ᆨ
관계,ᄀ,ᅪ,ᆫ,ᄀ,ᅨ
관리,ᄀ,ᅪ,ᆫ,ᄅ,ᅵ
관리,ᄀ,ᅪ,ᆫ,ᄅ,ᅵ
광고,ᄀ,ᅪ,ᆼ,ᄀ,ᅩ
교문,ᄀ,ᅭ,ᄆ,ᅮ,ᆫ
교복,ᄀ,ᅭ,ᄇ,ᅩ,ᆨ
교실,ᄀ,ᅭ,ᄉ,ᅵ,ᆯ
교양,ᄀ,ᅭ,ᄋ,ᅣ,ᆼ
교육,ᄀ,ᅭ,ᄋ,ᅲ,ᆨ
교장,ᄀ,ᅭ,ᄌ,ᅡ,ᆼ
교직,ᄀ,ᅭ,ᄌ,ᅵ,ᆨ
교통,ᄀ,ᅭ,ᄐ,ᅩ,ᆼ
교환,ᄀ,ᅭ,ᄒ,ᅪ,ᆫ
교훈,ᄀ,ᅭ,ᄒ,ᅮ,ᆫ
구경,ᄀ,ᅮ,ᄀ,ᅧ,ᆼ
구름,ᄀ,ᅮ,ᄅ,ᅳ,ᆷ
구멍,ᄀ,ᅮ,ᄆ,ᅥ,ᆼ
구별,ᄀ,ᅮ,ᄇ,ᅧ,ᆯ
구분,ᄀ,ᅮ,ᄇ,ᅮ,ᆫ
구석,ᄀ,ᅮ,ᄉ,ᅥ,ᆨ
구성,ᄀ,ᅮ,ᄉ,ᅥ,ᆼ
구속,ᄀ,ᅮ,ᄉ,ᅩ,ᆨ
구역,ᄀ,ᅮ,ᄋ,ᅧ,ᆨ
구월,ᄀ,ᅮ,ᄋ,ᅯ,ᆯ
구입,ᄀ,ᅮ,ᄋ,ᅵ,ᆸ
구청,ᄀ,ᅮ,ᄎ,ᅥ,ᆼ
국가,ᄀ,ᅮ,ᆨ,ᄀ,ᅡ
국기,ᄀ,ᅮ,ᆨ,ᄀ,ᅵ
국내,ᄀ,ᅮ,ᆨ,ᄂ,ᅢ
국사,ᄀ,ᅮ,ᆨ,ᄉ,ᅡ
국수,ᄀ,ᅮ,ᆨ,ᄉ,ᅮ
국어,ᄀ,ᅮ,ᆨ,ᄋ,ᅥ
국제,ᄀ,ᅮ,ᆨ,ᄌ,ᅦ
국회,ᄀ,ᅮ,ᆨ,ᄒ,ᅬ
군대,ᄀ,ᅮ,ᆫ,ᄃ,ᅢ
군사,ᄀ,ᅮ,ᆫ,ᄉ,ᅡ
군사,ᄀ,ᅮ,ᆫ,ᄉ,ᅡ
권리,ᄀ,ᅯ,ᆫ,ᄅ,ᅵ
권위,ᄀ,ᅯ,ᆫ,ᄋ,ᅱ
권투,ᄀ,ᅯ,ᆫ,ᄐ,ᅮ
귀국,ᄀ,ᅱ,ᄀ,ᅮ,ᆨ
귀신,ᄀ,ᅱ,ᄉ,ᅵ,ᆫ
규정,ᄀ,ᅲ,ᄌ,ᅥ,ᆼ
규칙,ᄀ,ᅲ,ᄎ,ᅵ,ᆨ
그간,ᄀ,ᅳ,ᄀ,ᅡ,ᆫ
그날,ᄀ,ᅳ,ᄂ,ᅡ,ᆯ
그늘,ᄀ,ᅳ,ᄂ,ᅳ,ᆯ
그룹,ᄀ,ᅳ,ᄅ,ᅮ,ᆸ
그릇,ᄀ,ᅳ,ᄅ,ᅳ,ᆺ
그림,ᄀ,ᅳ,ᄅ,ᅵ,ᆷ
그전,ᄀ,ᅳ,ᄌ,ᅥ,ᆫ
그중,ᄀ,ᅳ,ᄌ,ᅮ,ᆼ
근거,ᄀ,ᅳ,ᆫ,ᄀ,ᅥ
근교,ᄀ,ᅳ,ᆫ,ᄀ,ᅭ
근래,ᄀ,ᅳ,ᆫ,ᄅ,ᅢ
근로,ᄀ,ᅳ,ᆫ,ᄅ,ᅩ
근무,ᄀ,ᅳ,ᆫ,ᄆ,ᅮ
근처,ᄀ,ᅳ,ᆫ,ᄎ,ᅥ
글씨,ᄀ,ᅳ,ᆯ,ᄊ,ᅵ
글자,ᄀ,ᅳ,ᆯ,ᄌ,ᅡ
금고,ᄀ,ᅳ,ᆷ,ᄀ,ᅩ
금지,ᄀ,ᅳ,ᆷ,ᄌ,ᅵ
기간,ᄀ,ᅵ,ᄀ,ᅡ,ᆫ
기관,ᄀ,ᅵ,ᄀ,ᅪ,ᆫ
기념,ᄀ,ᅵ,ᄂ,ᅧ,ᆷ
기능,ᄀ,ᅵ,ᄂ,ᅳ,ᆼ
기능,ᄀ,ᅵ,ᄂ,ᅳ,ᆼ
기둥,ᄀ,ᅵ,ᄃ,ᅮ,ᆼ
기록,ᄀ,ᅵ,ᄅ,ᅩ,ᆨ
기름,ᄀ,ᅵ,ᄅ,ᅳ,ᆷ
기법,ᄀ,ᅵ,ᄇ,ᅥ,ᆸ
기본,ᄀ,ᅵ,ᄇ,ᅩ,ᆫ
기분,ᄀ,ᅵ,ᄇ,ᅮ,ᆫ
기쁨,ᄀ,ᅵ,ᄈ,ᅳ,ᆷ
기성,ᄀ,ᅵ,ᄉ,ᅥ,ᆼ
기술,ᄀ,ᅵ,ᄉ,ᅮ,ᆯ
기억,ᄀ,ᅵ,ᄋ,ᅥ,ᆨ
기업,ᄀ,ᅵ,ᄋ,ᅥ,ᆸ
기온,ᄀ,ᅵ,ᄋ,ᅩ,ᆫ
기운,ᄀ,ᅵ,ᄋ,ᅮ,ᆫ
기원,ᄀ,ᅵ,ᄋ,ᅯ,ᆫ
기적,ᄀ,ᅵ,ᄌ,ᅥ,ᆨ
기준,ᄀ,ᅵ,ᄌ,ᅮ,ᆫ
기침,ᄀ,ᅵ,ᄎ,ᅵ,ᆷ
기혼,ᄀ,ᅵ,ᄒ,ᅩ,ᆫ
기획,ᄀ,ᅵ,ᄒ,ᅬ,ᆨ
길가,ᄀ,ᅵ,ᆯ,ᄀ,ᅡ
길이,ᄀ,ᅵ,ᆯ,ᄋ,ᅵ
김치,ᄀ,ᅵ,ᆷ,ᄎ,ᅵ
깊이,ᄀ,ᅵ,ᇁ,ᄋ,ᅵ
까닭,ᄁ,ᅡ,ᄃ,ᅡ,ᆰ
깡패,ᄁ,ᅡ,ᆼ,ᄑ,ᅢ
꽃씨,ᄁ,ᅩ,ᆾ,ᄊ,ᅵ
꾸중,ᄁ,ᅮ,ᄌ,ᅮ,ᆼ
나물,ᄂ,ᅡ,ᄆ,ᅮ,ᆯ
나중,ᄂ,ᅡ,ᄌ,ᅮ,ᆼ
나흘,ᄂ,ᅡ,ᄒ,ᅳ,ᆯ
낚시,ᄂ,ᅡ,ᆩ,ᄉ,ᅵ
난리,ᄂ,ᅡ,ᆫ,ᄅ,ᅵ
날개,ᄂ,ᅡ,ᆯ,ᄀ,ᅢ
날씨,ᄂ,ᅡ,ᆯ,ᄊ,ᅵ
날짜,ᄂ,ᅡ,ᆯ,ᄍ,ᅡ
남녀,ᄂ,ᅡ,ᆷ,ᄂ,ᅧ
남매,ᄂ,ᅡ,ᆷ,ᄆ,ᅢ
남부,ᄂ,ᅡ,ᆷ,ᄇ,ᅮ
남자,ᄂ,ᅡ,ᆷ,ᄌ,ᅡ
낭비,ᄂ,ᅡ,ᆼ,ᄇ,ᅵ
내년,ᄂ,ᅢ,ᄂ,ᅧ,ᆫ
내달,ᄂ,ᅢ,ᄃ,ᅡ,ᆯ
내용,ᄂ,ᅢ,ᄋ,ᅭ,ᆼ
내일,ᄂ,ᅢ,ᄋ,ᅵ,ᆯ
내적,ᄂ,ᅢ,ᄌ,ᅥ,ᆨ
냄비,ᄂ,ᅢ,ᆷ,ᄇ,ᅵ
냄새,ᄂ,ᅢ,ᆷ,ᄉ,ᅢ
노동,ᄂ,ᅩ,ᄃ,ᅩ,ᆼ
노력,ᄂ,ᅩ,ᄅ,ᅧ,ᆨ
노선,ᄂ,ᅩ,ᄉ,ᅥ,ᆫ
노인,ᄂ,ᅩ,ᄋ,ᅵ,ᆫ
녹차,ᄂ,ᅩ,ᆨ,ᄎ,ᅡ
녹화,ᄂ,ᅩ,ᆨ,ᄒ,ᅪ
논리,ᄂ,ᅩ,ᆫ,ᄅ,ᅵ
놀이,ᄂ,ᅩ,ᆯ,ᄋ,ᅵ
농구,ᄂ,ᅩ,ᆼ,ᄀ,ᅮ
농부,ᄂ,ᅩ,ᆼ,ᄇ,ᅮ
농사,ᄂ,ᅩ,ᆼ,ᄉ,ᅡ
높이,ᄂ,ᅩ,ᇁ,ᄋ,ᅵ
눈가,ᄂ,ᅮ,ᆫ,ᄀ,ᅡ
느낌,ᄂ,ᅳ,ᄁ,ᅵ,ᆷ
늑대,ᄂ,ᅳ,ᆨ,ᄃ,ᅢ
다방,ᄃ,ᅡ,ᄇ,ᅡ,ᆼ
다음,ᄃ,ᅡ,ᄋ,ᅳ,ᆷ
다툼,ᄃ,ᅡ,ᄐ,ᅮ,ᆷ
다행,ᄃ,ᅡ,ᄒ,ᅢ,ᆼ
단계,ᄃ,ᅡ,ᆫ,ᄀ,ᅨ
단어,ᄃ,ᅡ,ᆫ,ᄋ,ᅥ
단위,ᄃ,ᅡ,ᆫ,ᄋ,ᅱ
단지,ᄃ,ᅡ,ᆫ,ᄌ,ᅵ
단체,ᄃ,ᅡ,ᆫ,ᄎ,ᅦ
단추,ᄃ,ᅡ,ᆫ,ᄎ,ᅮ
달러,ᄃ,ᅡ,ᆯ,ᄅ,ᅥ
담배,ᄃ,ᅡ,ᆷ,ᄇ,ᅢ
담요,ᄃ,ᅡ,ᆷ,ᄋ,ᅭ
닷새,ᄃ,ᅡ,ᆺ,ᄉ,ᅢ
당시,ᄃ,ᅡ,ᆼ,ᄉ,ᅵ
대낮,ᄃ,ᅢ,ᄂ,ᅡ,ᆽ
대답,ᄃ,ᅢ,ᄃ,ᅡ,ᆸ
대량,ᄃ,ᅢ,ᄅ,ᅣ,ᆼ
대륙,ᄃ,ᅢ,ᄅ,ᅲ,ᆨ
대문,ᄃ,ᅢ,ᄆ,ᅮ,ᆫ
대신,ᄃ,ᅢ,ᄉ,ᅵ,ᆫ
대응,ᄃ,ᅢ,ᄋ,ᅳ,ᆼ
대입,ᄃ,ᅢ,ᄋ,ᅵ,ᆸ
대접,ᄃ,ᅢ,ᄌ,ᅥ,ᆸ
대중,ᄃ,ᅢ,ᄌ,ᅮ,ᆼ
대책,ᄃ,ᅢ,ᄎ,ᅢ,ᆨ
대출,ᄃ,ᅢ,ᄎ,ᅮ,ᆯ
대학,ᄃ,ᅢ,ᄒ,ᅡ,ᆨ
대형,ᄃ,ᅢ,ᄒ,ᅧ,ᆼ
도덕,ᄃ,ᅩ,ᄃ,ᅥ,ᆨ
도둑,ᄃ,ᅩ,ᄃ,ᅮ,ᆨ
도망,ᄃ,ᅩ,ᄆ,ᅡ,ᆼ
도심,ᄃ,ᅩ,ᄉ,ᅵ,ᆷ
도움,ᄃ,ᅩ,ᄋ,ᅮ,ᆷ
도입,ᄃ,ᅩ,ᄋ,ᅵ,ᆸ
도장,ᄃ,ᅩ,ᄌ,ᅡ,ᆼ
도전,ᄃ,ᅩ,ᄌ,ᅥ,ᆫ
도중,ᄃ,ᅩ,ᄌ,ᅮ,ᆼ
도착,ᄃ,ᅩ,ᄎ,ᅡ,ᆨ
독서,ᄃ,ᅩ,ᆨ,ᄉ,ᅥ
동기,ᄃ,ᅩ,ᆼ,ᄀ,ᅵ
동기,ᄃ,ᅩ,ᆼ,ᄀ,ᅵ
동네,ᄃ,ᅩ,ᆼ,ᄂ,ᅦ
동료,ᄃ,ᅩ,ᆼ,ᄅ,ᅭ
동부,ᄃ,ᅩ,ᆼ,ᄇ,ᅮ
동서,ᄃ,ᅩ,ᆼ,ᄉ,ᅥ
동시,ᄃ,ᅩ,ᆼ,ᄉ,ᅵ
동의,ᄃ,ᅩ,ᆼ,ᄋ,ᅴ
동포,ᄃ,ᅩ,ᆼ,ᄑ,ᅩ
동화,ᄃ,ᅩ,ᆼ,ᄒ,ᅪ
두통,ᄃ,ᅮ,ᄐ,ᅩ,ᆼ
둥지,ᄃ,ᅮ,ᆼ,ᄌ,ᅵ
뒤쪽,ᄃ,ᅱ,ᄍ,ᅩ,ᆨ
뒤편,ᄃ,ᅱ,ᄑ,ᅧ,ᆫ
따님,ᄄ,ᅡ,ᄂ,ᅵ,ᆷ
딸기,ᄄ,ᅡ,ᆯ,ᄀ,ᅵ
뚜껑,ᄄ,ᅮ,ᄁ,ᅥ,ᆼ
라면,ᄅ,ᅡ,ᄆ,ᅧ,ᆫ
라인,ᄅ,ᅡ,ᄋ,ᅵ,ᆫ
라켓,ᄅ,ᅡ,ᄏ,ᅦ,ᆺ
레몬,ᄅ,ᅦ,ᄆ,ᅩ,ᆫ
렌즈,ᄅ,ᅦ,ᆫ,ᄌ,ᅳ
로봇,ᄅ,ᅩ,ᄇ,ᅩ,ᆺ
리듬,ᄅ,ᅵ,ᄃ,ᅳ,ᆷ
마늘,ᄆ,ᅡ,ᄂ,ᅳ,ᆯ
마당,ᄆ,ᅡ,ᄃ,ᅡ,ᆼ
마련,ᄆ,ᅡ,ᄅ,ᅧ,ᆫ
마약,ᄆ,ᅡ,ᄋ,ᅣ,ᆨ
마을,ᄆ,ᅡ,ᄋ,ᅳ,ᆯ
마음,ᄆ,ᅡ,ᄋ,ᅳ,ᆷ
마중,ᄆ,ᅡ,ᄌ,ᅮ,ᆼ
마찰,ᄆ,ᅡ,ᄎ,ᅡ,ᆯ
막내,ᄆ,ᅡ,ᆨ,ᄂ,ᅢ
만두,ᄆ,ᅡ,ᆫ,ᄃ,ᅮ
만세,ᄆ,ᅡ,ᆫ,ᄉ,ᅦ
만화,ᄆ,ᅡ,ᆫ,ᄒ,ᅪ
말기,ᄆ,ᅡ,ᆯ,ᄀ,ᅵ
말투,ᄆ,ᅡ,ᆯ,ᄐ,ᅮ
매력,ᄆ,ᅢ,ᄅ,ᅧ,ᆨ
매일,ᄆ,ᅢ,ᄋ,ᅵ,ᆯ
매장,ᄆ,ᅢ,ᄌ,ᅡ,ᆼ
맥주,ᄆ,ᅢ,ᆨ,ᄌ,ᅮ
먹이,ᄆ,ᅥ,ᆨ,ᄋ,ᅵ
먼지,ᄆ,ᅥ,ᆫ,ᄌ,ᅵ
메일,ᄆ,ᅦ,ᄋ,ᅵ,ᆯ
며칠,ᄆ,ᅧ,ᄎ,ᅵ,ᆯ
멸치,ᄆ,ᅧ,ᆯ,ᄎ,ᅵ
명예,ᄆ,ᅧ,ᆼ,ᄋ,ᅨ
명의,ᄆ,ᅧ,ᆼ,ᄋ,ᅴ
모델,ᄆ,ᅩ,ᄃ,ᅦ,ᆯ
모범,ᄆ,ᅩ,ᄇ,ᅥ,ᆷ
모습,ᄆ,ᅩ,ᄉ,ᅳ,ᆸ
모양,ᄆ,ᅩ,ᄋ,ᅣ,ᆼ
모임,ᄆ,ᅩ,ᄋ,ᅵ,ᆷ
모집,ᄆ,ᅩ,ᄌ,ᅵ,ᆸ
목사,ᄆ,ᅩ,ᆨ,ᄉ,ᅡ
목표,ᄆ,ᅩ,ᆨ,ᄑ,ᅭ
몸매,ᄆ,ᅩ,ᆷ,ᄆ,ᅢ
무덤,ᄆ,ᅮ,ᄃ,ᅥ,ᆷ
무릎,ᄆ,ᅮ,ᄅ,ᅳ,ᇁ
무역,ᄆ,ᅮ,ᄋ,ᅧ,ᆨ
무용,ᄆ,ᅮ,ᄋ,ᅭ,ᆼ
문구,ᄆ,ᅮ,ᆫ,ᄀ,ᅮ
문서,ᄆ,ᅮ,ᆫ,ᄉ,ᅥ
문자,ᄆ,ᅮ,ᆫ,ᄌ,ᅡ
문제,ᄆ,ᅮ,ᆫ,ᄌ,ᅦ
문화,ᄆ,ᅮ,ᆫ,ᄒ,ᅪ
물가,ᄆ,ᅮ,ᆯ,ᄀ,ᅡ
물기,ᄆ,ᅮ,ᆯ,ᄀ,ᅵ
물체,ᄆ,ᅮ,ᆯ,ᄎ,ᅦ
미만,ᄆ,ᅵ,ᄆ,ᅡ,ᆫ
미술,ᄆ,ᅵ,ᄉ,ᅮ,ᆯ
미역,ᄆ,ᅵ,ᄋ,ᅧ,ᆨ
미움,ᄆ,ᅵ,ᄋ,ᅮ,ᆷ
미인,ᄆ,ᅵ,ᄋ,ᅵ,ᆫ
미팅,ᄆ,ᅵ,ᄐ,ᅵ,ᆼ
미혼,ᄆ,ᅵ,ᄒ,ᅩ,ᆫ
민주,ᄆ,ᅵ,ᆫ,ᄌ,ᅮ
바깥,ᄇ,ᅡ,ᄁ,ᅡ,ᇀ
바늘,ᄇ,ᅡ,ᄂ,ᅳ,ᆯ
바닥,ᄇ,ᅡ,ᄃ,ᅡ,ᆨ
바람,ᄇ,ᅡ,ᄅ,ᅡ,ᆷ
바람,ᄇ,ᅡ,ᄅ,ᅡ,ᆷ
바탕,ᄇ,ᅡ,ᄐ,ᅡ,ᆼ
박사,ᄇ,ᅡ,ᆨ,ᄉ,ᅡ
박수,ᄇ,ᅡ,ᆨ,ᄉ,ᅮ
박스,ᄇ,ᅡ,ᆨ,ᄉ,ᅳ
반대,ᄇ,ᅡ,ᆫ,ᄃ,ᅢ
반지,ᄇ,ᅡ,ᆫ,ᄌ,ᅵ
발레,ᄇ,ᅡ,ᆯ,ᄅ,ᅦ
발표,ᄇ,ᅡ,ᆯ,ᄑ,ᅭ
밤새,ᄇ,ᅡ,ᆷ,ᄉ,ᅢ
방지,ᄇ,ᅡ,ᆼ,ᄌ,ᅵ
방해,ᄇ,ᅡ,ᆼ,ᄒ,ᅢ
배경,ᄇ,ᅢ,ᄀ,ᅧ,ᆼ
배꼽,ᄇ,ᅢ,ᄁ,ᅩ,ᆸ
배달,ᄇ,ᅢ,ᄃ,ᅡ,ᆯ
버릇,ᄇ,ᅥ,ᄅ,ᅳ,ᆺ
버섯,ᄇ,ᅥ,ᄉ,ᅥ,ᆺ
버튼,ᄇ,ᅥ,ᄐ,ᅳ,ᆫ
번개,ᄇ,ᅥ,ᆫ,ᄀ,ᅢ
번지,ᄇ,ᅥ,ᆫ,ᄌ,ᅵ
번호,ᄇ,ᅥ,ᆫ,ᄒ,ᅩ
벌레,ᄇ,ᅥ,ᆯ,ᄅ,ᅦ
범위,ᄇ,ᅥ,ᆷ,ᄋ,ᅱ
범죄,ᄇ,ᅥ,ᆷ,ᄌ,ᅬ
벤치,ᄇ,ᅦ,ᆫ,ᄎ,ᅵ
벨트,ᄇ,ᅦ,ᆯ,ᄐ,ᅳ
변화,ᄇ,ᅧ,ᆫ,ᄒ,ᅪ
별도,ᄇ,ᅧ,ᆯ,ᄃ,ᅩ
보관,ᄇ,ᅩ,ᄀ,ᅪ,ᆫ
보람,ᄇ,ᅩ,ᄅ,ᅡ,ᆷ
보름,ᄇ,ᅩ,ᄅ,ᅳ,ᆷ
보상,ᄇ,ᅩ,ᄉ,ᅡ,ᆼ
보안,ᄇ,ᅩ,ᄋ,ᅡ,ᆫ
보장,ᄇ,ᅩ,ᄌ,ᅡ,ᆼ
보전,ᄇ,ᅩ,ᄌ,ᅥ,ᆫ
보존,ᄇ,ᅩ,ᄌ,ᅩ,ᆫ
보통,ᄇ,ᅩ,ᄐ,ᅩ,ᆼ
보험,ᄇ,ᅩ,ᄒ,ᅥ,ᆷ
복도,ᄇ,ᅩ,ᆨ,ᄃ,ᅩ
복사,ᄇ,ᅩ,ᆨ,ᄉ,ᅡ
본래,ᄇ,ᅩ,ᆫ,ᄅ,ᅢ
본부,ᄇ,ᅩ,ᆫ,ᄇ,ᅮ
본사,ᄇ,ᅩ,ᆫ,ᄉ,ᅡ
봉사,ᄇ,ᅩ,ᆼ,ᄉ,ᅡ
봉지,ᄇ,ᅩ,ᆼ,ᄌ,ᅵ
봉투,ᄇ,ᅩ,ᆼ,ᄐ,ᅮ
부근,ᄇ,ᅮ,ᄀ,ᅳ,ᆫ
부담,ᄇ,ᅮ,ᄃ,ᅡ,ᆷ
부문,ᄇ,ᅮ,ᄆ,ᅮ,ᆫ
부분,ᄇ,ᅮ,ᄇ,ᅮ,ᆫ
부상,ᄇ,ᅮ,ᄉ,ᅡ,ᆼ
부엌,ᄇ,ᅮ,ᄋ,ᅥ,ᆿ
부인,ᄇ,ᅮ,ᄋ,ᅵ,ᆫ
부인,ᄇ,ᅮ,ᄋ,ᅵ,ᆫ
부장,ᄇ,ᅮ,ᄌ,ᅡ,ᆼ
부정,ᄇ,ᅮ,ᄌ,ᅥ,ᆼ
부족,ᄇ,ᅮ,ᄌ,ᅩ,ᆨ
부족,ᄇ,ᅮ,ᄌ,ᅩ,ᆨ
부친,ᄇ,ᅮ,ᄎ,ᅵ,ᆫ
부탁,ᄇ,ᅮ,ᄐ,ᅡ,ᆨ
부품,ᄇ,ᅮ,ᄑ,ᅮ,ᆷ
북부,ᄇ,ᅮ,ᆨ,ᄇ,ᅮ
분노,ᄇ,ᅮ,ᆫ,ᄂ,ᅩ
분리,ᄇ,ᅮ,ᆫ,ᄅ,ᅵ
분야,ᄇ,ᅮ,ᆫ,ᄋ,ᅣ
불교,ᄇ,ᅮ,ᆯ,ᄀ,ᅭ
비극,ᄇ,ᅵ,ᄀ,ᅳ,ᆨ
비난,ᄇ,ᅵ,ᄂ,ᅡ,ᆫ
비닐,ᄇ,ᅵ,ᄂ,ᅵ,ᆯ
비만,ᄇ,ᅵ,ᄆ,ᅡ,ᆫ
비명,ᄇ,ᅵ,ᄆ,ᅧ,ᆼ
비밀,ᄇ,ᅵ,ᄆ,ᅵ,ᆯ
비상,ᄇ,ᅵ,ᄉ,ᅡ,ᆼ
